 INFO  Accepting connections at http://localhost:5050
 HTTP  8/12/2025 5:54:09 AM ::1 GET /
 HTTP  8/12/2025 5:54:09 AM ::1 Returned 200 in 137 ms
 HTTP  8/12/2025 5:54:10 AM ::1 GET /_next/static/css/40384a9710f558d9.css
 HTTP  8/12/2025 5:54:10 AM ::1 GET /_next/static/media/e4af272ccee01ff0-s.p.woff2
 HTTP  8/12/2025 5:54:10 AM ::1 GET /_next/static/chunks/webpack-a3333b90cde4cccb.js
 HTTP  8/12/2025 5:54:10 AM ::1 Returned 200 in 12 ms
 HTTP  8/12/2025 5:54:10 AM ::1 GET /_next/static/chunks/main-app-421d4053965075b8.js
 HTTP  8/12/2025 5:54:10 AM ::1 Returned 304 in 46 ms
 HTTP  8/12/2025 5:54:10 AM ::1 Returned 200 in 47 ms
 HTTP  8/12/2025 5:54:10 AM ::1 GET /_next/static/chunks/864-3eb9302f43f2f25b.js
 HTTP  8/12/2025 5:54:10 AM ::1 GET /_next/static/chunks/fd9d1056-9460a96b566cd381.js
 HTTP  8/12/2025 5:54:10 AM ::1 Returned 304 in 24 ms
 HTTP  8/12/2025 5:54:10 AM ::1 Returned 304 in 13 ms
 HTTP  8/12/2025 5:54:10 AM ::1 Returned 304 in 10 ms
 HTTP  8/12/2025 5:54:10 AM ::1 GET /_next/static/chunks/app/layout-b79f23dc273f347a.js
 HTTP  8/12/2025 5:54:10 AM ::1 GET /_next/static/chunks/app/page-d4fa1c042b9f0502.js
 HTTP  8/12/2025 5:54:10 AM ::1 Returned 200 in 7 ms
 HTTP  8/12/2025 5:54:10 AM ::1 Returned 200 in 6 ms
 HTTP  8/12/2025 5:54:10 AM ::1 GET /_next/static/chunks/499-26fed873b3db4904.js
 HTTP  8/12/2025 5:54:10 AM ::1 GET /_next/static/chunks/71-ffc6d65bc2457ade.js
 HTTP  8/12/2025 5:54:10 AM ::1 Returned 304 in 2 ms
 HTTP  8/12/2025 5:54:10 AM ::1 Returned 304 in 2 ms
 HTTP  8/12/2025 5:54:11 AM ::1 GET /favicon.ico
 HTTP  8/12/2025 5:54:11 AM ::1 Returned 200 in 1 ms
 HTTP  8/12/2025 6:05:53 AM ::1 GET /
 HTTP  8/12/2025 6:05:53 AM ::1 Returned 200 in 12 ms
 HTTP  8/12/2025 6:05:53 AM ::1 GET /_next/static/media/e4af272ccee01ff0-s.p.woff2
 HTTP  8/12/2025 6:05:53 AM ::1 GET /_next/static/css/40384a9710f558d9.css
 HTTP  8/12/2025 6:05:53 AM ::1 Returned 304 in 5 ms
 HTTP  8/12/2025 6:05:53 AM ::1 Returned 304 in 9 ms
 HTTP  8/12/2025 6:05:53 AM ::1 GET /_next/static/chunks/webpack-a3333b90cde4cccb.js
 HTTP  8/12/2025 6:05:53 AM ::1 GET /_next/static/chunks/864-3eb9302f43f2f25b.js
 HTTP  8/12/2025 6:05:53 AM ::1 GET /_next/static/chunks/fd9d1056-9460a96b566cd381.js
 HTTP  8/12/2025 6:05:53 AM ::1 GET /_next/static/chunks/main-app-421d4053965075b8.js
 HTTP  8/12/2025 6:05:53 AM ::1 Returned 304 in 11 ms
 HTTP  8/12/2025 6:05:53 AM ::1 Returned 304 in 11 ms
 HTTP  8/12/2025 6:05:53 AM ::1 Returned 304 in 5 ms
 HTTP  8/12/2025 6:05:53 AM ::1 Returned 304 in 8 ms
 HTTP  8/12/2025 6:05:54 AM ::1 GET /_next/static/chunks/app/page-bc3153e58fae9d43.js
 HTTP  8/12/2025 6:05:54 AM ::1 Returned 200 in 8 ms
 HTTP  8/12/2025 6:05:54 AM ::1 GET /_next/static/chunks/app/layout-b79f23dc273f347a.js
 HTTP  8/12/2025 6:05:54 AM ::1 Returned 304 in 1 ms
 HTTP  8/12/2025 6:05:54 AM ::1 GET /_next/static/chunks/499-26fed873b3db4904.js
 HTTP  8/12/2025 6:05:54 AM ::1 GET /_next/static/chunks/71-ffc6d65bc2457ade.js
 HTTP  8/12/2025 6:05:54 AM ::1 Returned 304 in 1 ms
 HTTP  8/12/2025 6:05:54 AM ::1 Returned 304 in 2 ms
 HTTP  8/12/2025 6:05:54 AM ::1 GET /favicon.ico
 HTTP  8/12/2025 6:05:54 AM ::1 Returned 200 in 1 ms
 HTTP  8/12/2025 6:05:54 AM ::1 GET /images/founder.jpg
 HTTP  8/12/2025 6:05:54 AM ::1 Returned 200 in 1 ms
 HTTP  8/12/2025 6:06:08 AM ::1 GET /
 HTTP  8/12/2025 6:06:08 AM ::1 Returned 304 in 3 ms
 HTTP  8/12/2025 6:06:08 AM ::1 GET /_next/static/chunks/webpack-a3333b90cde4cccb.js
 HTTP  8/12/2025 6:06:08 AM ::1 GET /_next/static/chunks/864-3eb9302f43f2f25b.js
 HTTP  8/12/2025 6:06:08 AM ::1 Returned 304 in 3 ms
 HTTP  8/12/2025 6:06:08 AM ::1 Returned 304 in 2 ms
 HTTP  8/12/2025 6:06:08 AM ::1 GET /_next/static/media/e4af272ccee01ff0-s.p.woff2
 HTTP  8/12/2025 6:06:08 AM ::1 Returned 304 in 1 ms
